0,1,2,3,4,5,6,7,8
,,,,Share of Total Seating Capacity by Carrier - 2014,,,,
,,,,,WinterSummer,,,
80.0,,,,,,,,
70.0,,,,,,Airline,Winter,Summer
,,,,,,Sri Lankan Airlines,72.85,72.46
60.0,,,,,,,,
,,,,,,Emirates,3.19,3.30
,,,,,,,,
50.0,,,,,,Mihin Air,4.25,4.28
,,,,,,Qatar Airways,2.48,2.57
40.0,,,,,,,,
,,,,,,Malaysian Airlines,1.18,1.22
30.0,,,,,,,,
,,,,,,Cathay Pacific,0.83,0.86
20.0,,,,,,Singapore Airlines,0.83,0.86
,,,,,,Saudi Arabian A/L,0.59,0.86
10.0,,,,,,,,
,,,,,,Air Arabia,1.30,1.35
0.0,,,,,,,,
,,,,,,Air India Express,0.83,0.73
,,,,,,Others,,
,mirates,Mihin Air,,,,,,
,,,Q atar Airw ays,,Air Arabia,Others,11.69,11.51
Sri Lankan A/L,E,,M alaysian Airlines,C athay P acificSingapore Airlines,Air India E xpressS audi Arabian A/L,,,
